run_id,active,aco_config_id,ipr_config_id,round,day,product,pnl,aco_cfg_merged_json,ipr_cfg_merged_json
1,ACO,0,3,1,-2,ASH_COATED_OSMIUM,19518.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
2,ACO,0,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
3,ACO,0,3,1,-1,ASH_COATED_OSMIUM,20818.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
4,ACO,0,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
5,ACO,0,3,1,0,ASH_COATED_OSMIUM,19721.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
6,ACO,0,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
7,ACO,1,3,1,-2,ASH_COATED_OSMIUM,17448.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
8,ACO,1,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
9,ACO,1,3,1,-1,ASH_COATED_OSMIUM,18787.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
10,ACO,1,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
11,ACO,1,3,1,0,ASH_COATED_OSMIUM,17740.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
12,ACO,1,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":0,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
13,ACO,2,3,1,-2,ASH_COATED_OSMIUM,19725.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
14,ACO,2,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
15,ACO,2,3,1,-1,ASH_COATED_OSMIUM,21121.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
16,ACO,2,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
17,ACO,2,3,1,0,ASH_COATED_OSMIUM,20032.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
18,ACO,2,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
19,ACO,3,3,1,-2,ASH_COATED_OSMIUM,17619.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
20,ACO,3,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
21,ACO,3,3,1,-1,ASH_COATED_OSMIUM,19030.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
22,ACO,3,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
23,ACO,3,3,1,0,ASH_COATED_OSMIUM,18031.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
24,ACO,3,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
25,ACO,4,3,1,-2,ASH_COATED_OSMIUM,19743.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
26,ACO,4,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
27,ACO,4,3,1,-1,ASH_COATED_OSMIUM,21079.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
28,ACO,4,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
29,ACO,4,3,1,0,ASH_COATED_OSMIUM,20053.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
30,ACO,4,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
31,ACO,5,3,1,-2,ASH_COATED_OSMIUM,17573.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
32,ACO,5,3,1,-2,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
33,ACO,5,3,1,-1,ASH_COATED_OSMIUM,18935.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
34,ACO,5,3,1,-1,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
35,ACO,5,3,1,0,ASH_COATED_OSMIUM,18001.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
36,ACO,5,3,1,0,INTARIAN_PEPPER_ROOT,0.0,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""improve_1"",""min_take_edge"":2,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
37,ACO,6,3,1,-2,ASH_COATED_OSMIUM,18915.5,"{""anchor"":10000,""ask_frac"":0.5,""bid_frac"":0.5,""clamp_band"":20,""ema_alpha"":0.25,""make_portion"":0.8,""maker_mode"":""join"",""min_take_edge"":3,""position_limit"":80,""pressure_mode"":""symmetric"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""soft_cap"":60,""spread_threshold"":3}","{""ask_frac"":0.3,""bid_frac"":0.7,""make_portion"":0.9,""maker_mode"":""improve_1"",""min_take_edge"":1,""position_limit"":80,""pressure_mode"":""long_bias"",""quote_bias_ticks"":0,""size_haircut"":1.0,""skew_strength"":0,""slope"":0.001,""soft_cap"":75,""spread_threshold"":3}"
