cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
0,-1,True,3778.0,3778.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-2,0,join,0.8,60,0,0.25
0,0,True,3816.0,3816.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-2,0,join,0.8,60,0,0.25
1,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.8,60,0,0.25
1,0,True,3511.0,3511.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.8,60,0,0.25
0,-2,True,3144.0,3144.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-2,0,join,0.8,60,0,0.25
1,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.8,60,0,0.25
2,-2,True,2008.0,2008.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",-2,2,join,0.8,60,0,0.25
2,-1,True,2402.0,2402.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",-2,2,join,0.8,60,0,0.25
3,0,True,398.0,398.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",-2,3,join,0.8,60,0,0.25
3,-2,True,330.0,330.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",-2,3,join,0.8,60,0,0.25
3,-1,True,529.0,529.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",-2,3,join,0.8,60,0,0.25
2,0,True,2405.0,2405.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",-2,2,join,0.8,60,0,0.25
4,0,True,4579.0,4579.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-1,0,join,0.8,60,0,0.25
4,-2,True,4020.0,4020.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-1,0,join,0.8,60,0,0.25
5,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,0.8,60,0,0.25
5,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,0.8,60,0,0.25
4,-1,True,4212.0,4212.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",-1,0,join,0.8,60,0,0.25
